name,code,description,url,type
africaioc,0,439 : africaioc VALID https://ioc-africa.org/sitemap.xml  with 4 sitemap URL(s),https://ioc-africa.org/sitemap.xml,sitemap
aquadocs,0,aquadocs 	 https://oih.aquadocs.org/aquadocs.json Sitegraph URL code is 200 ,https://oih.aquadocs.org/aquadocs.json,sitegraph
benguelacc,0,benguelacc 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-benguelacc/benguelacc-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-benguelacc/benguelacc-simple-graph.json,sitegraph
caribbeanmarineatlas,0,caribbeanmarineatlas 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json,sitegraph
cioos,0,507 : cioos VALID https://catalogue.cioos.ca/sitemap/sitemap.xml  with 1 sitemap URL(s),https://catalogue.cioos.ca/sitemap/sitemap.xml,sitemap
edmerp,0,3430 : edmerp VALID https://edmerp.seadatanet.org/sitemap.xml  with 1 sitemap URL(s),https://edmerp.seadatanet.org/sitemap.xml,sitemap
edmo,0,4726 : edmo VALID https://edmo.seadatanet.org/sitemap.xml  with 1 sitemap URL(s),https://edmo.seadatanet.org/sitemap.xml,sitemap
euroceanevents,1,ERROR euroceanevents : https://www.oceanexpert.org/assets/sitemaps/sitemapEvents.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapEvents.xml,sitemap
euroceanexperts,1,ERROR euroceanexperts : https://www.oceanexpert.org/assets/sitemaps/sitemapExperts.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapExperts.xml,sitemap
euroceaninstitutions,1,ERROR euroceaninstitutions : https://www.oceanexpert.org/assets/sitemaps/sitemapInstitutions.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapInstitutions.xml,sitemap
euroceanorgs,0,7651 : euroceanorgs VALID https://infohub.eurocean.net/sitemap/organizations  with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/organizations,sitemap
euroceanprojects,0,635 : euroceanprojects VALID https://infohub.eurocean.net/sitemap/projects  with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/projects,sitemap
euroceantraining,1,ERROR euroceantraining : https://www.oceanexpert.org/assets/sitemaps/sitemapTraining.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapTraining.xml,sitemap
euroceanvessels,0,87 : euroceanvessels VALID https://infohub.eurocean.net/sitemap/vessels  with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/vessels,sitemap
emodnet,0,2174 : emodnet VALID https://emodnet.ec.europa.eu/geonetwork/srv/eng/portal.sitemap  with 1 sitemap URL(s),https://emodnet.ec.europa.eu/geonetwork/srv/eng/portal.sitemap,sitemap
inanodc,0,33 : inanodc VALID https://geonode.nodc.id/sitemap.xml  with 1 sitemap URL(s),https://geonode.nodc.id/sitemap.xml,sitemap
invemardocuments,0,invemardocuments 	 http://portete.invemar.org.co/chm/api/oih/documents?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/documents?format=json,sitegraph
invemarexperts,0,invemarexperts 	 http://portete.invemar.org.co/chm/api/oih/expert?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/expert?format=json,sitegraph
invemarinstitutions,0,invemarinstitutions 	 http://portete.invemar.org.co/chm/api/oih/institution?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/institution?format=json,sitegraph
invemartraining,0,invemartraining 	 http://portete.invemar.org.co/chm/api/oih/training?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/training?format=json,sitegraph
invemarvessels,0,invemarvessels 	 http://portete.invemar.org.co/chm/api/oih/vessel?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/vessel?format=json,sitegraph
marinetraining,0,657 : marinetraining VALID https://www.marinetraining.eu/sitemap.xml  with 1 sitemap URL(s),https://www.marinetraining.eu/sitemap.xml,sitemap
maspawio,0,maspawio 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-maspawio/maspawio-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-maspawio/maspawio-simple-graph.json,sitegraph
obis,0,4636 : obis VALID https://obis.org/sitemap_datasets.xml  with 1 sitemap URL(s),https://obis.org/sitemap_datasets.xml,sitemap
obps,0,obps 	 https://oih.oceanbestpractices.org/obps.json Sitegraph URL code is 200 ,https://oih.oceanbestpractices.org/obps.json,sitegraph
oceanexperts,1,ERROR oceanexperts : https://oceanexpert.org/assets/sitemaps/sitemapIndex.xml reading sitemap XML,https://oceanexpert.org/assets/sitemaps/sitemapIndex.xml,sitemap
oceanscape,0,115 : oceanscape VALID https://oceanscape.org/organisation-sitemap.xml  with 1 sitemap URL(s),https://oceanscape.org/organisation-sitemap.xml,sitemap
pdh,0,66 : pdh VALID https://pacificdata.org/organization/sitemap.xml  with 1 sitemap URL(s),https://pacificdata.org/organization/sitemap.xml,sitemap
pogo,0,81 : pogo VALID https://pogo-ocean.org/pogo-member-sitemap.xml  with 1 sitemap URL(s),https://pogo-ocean.org/pogo-member-sitemap.xml,sitemap
